,id,route,direction,segment,volume,vcr,vcr_cat,geometry
17,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.18,,,,5000,0.7,Medium,"MULTILINESTRING ((138.583058 -34.943405, 138.583246 -34.944339, 138.583608 -34.945725, 138.584054 -34.948071, 138.584109 -34.948536, 138.584154 -34.948727, 138.584274 -34.949191, 138.584483 -34.950162, 138.58459 -34.950562, 138.584729 -34.951016, 138.584983 -34.951701))"
18,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.19,,,,1000,0.3,Low,"MULTILINESTRING ((138.492392 -35.140243, 138.491186 -35.143289, 138.49063 -35.144921, 138.490319 -35.146352, 138.490123 -35.147863, 138.489698 -35.151086, 138.489649 -35.152102, 138.489338 -35.156762, 138.489019 -35.161516, 138.488888 -35.164872, 138.489011 -35.167533, 138.489297 -35.17274, 138.489338 -35.173796, 138.489256 -35.174518, 138.489019 -35.175721, 138.488357 -35.177453, 138.487636 -35.178695))"
19,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.20,,,,1000,0.1,Low,"MULTILINESTRING ((138.487636 -35.178695, 138.488357 -35.177453, 138.489019 -35.175721, 138.489256 -35.174518, 138.489338 -35.173796, 138.489297 -35.17274, 138.489011 -35.167533, 138.488888 -35.164872, 138.489019 -35.161516, 138.489338 -35.156762, 138.489649 -35.152102, 138.489698 -35.151086, 138.490123 -35.147863, 138.490319 -35.146352, 138.49063 -35.144921, 138.491186 -35.143289, 138.492392 -35.140243))"
20,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.21,,,,1000,0.3,Low,"MULTILINESTRING ((138.566623 -35.001487, 138.56644 -35.001014, 138.566233 -35.000623, 138.565927 -35.000209, 138.565747 -35, 138.564187 -34.998544, 138.564061 -34.998437, 138.563924 -34.998272, 138.56364 -34.99787, 138.563453 -34.997515, 138.56331 -34.99716, 138.562179 -34.993864, 138.561971 -34.993287))"
21,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.22,,,,1000,0.4,Low,"MULTILINESTRING ((138.561971 -34.993287, 138.562179 -34.993864, 138.56331 -34.99716, 138.563453 -34.997515, 138.56364 -34.99787, 138.563924 -34.998272, 138.564061 -34.998437, 138.564187 -34.998544, 138.565747 -35, 138.565927 -35.000209, 138.566233 -35.000623, 138.56644 -35.001014, 138.566623 -35.001487))"
22,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.23,,,,1000,0.4,Low,"MULTILINESTRING ((138.565735 -35.015912, 138.56582 -35.016629, 138.565841 -35.017523))"
23,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.24,,,,1000,0.3,Low,"MULTILINESTRING ((138.565841 -35.017523, 138.56582 -35.016629, 138.565735 -35.015912))"
24,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.25,,,,1000,0.1,Low,"MULTILINESTRING ((138.492392 -35.140243, 138.49259 -35.139639, 138.493175 -35.13824, 138.493816 -35.136709, 138.494408 -35.135306, 138.494982 -35.133777, 138.495556 -35.13222, 138.495654 -35.13188, 138.495988 -35.130642, 138.49622 -35.129521, 138.496257 -35.129302))"
25,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.26,,,,2000,0.4,Low,"MULTILINESTRING ((138.496257 -35.129302, 138.49622 -35.129521, 138.495988 -35.130642, 138.495654 -35.13188, 138.495556 -35.13222, 138.494982 -35.133777, 138.494408 -35.135306, 138.493816 -35.136709, 138.493175 -35.13824, 138.49259 -35.139639, 138.492392 -35.140243))"
26,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.27,,,,1000,0.1,Low,"MULTILINESTRING ((138.496257 -35.129302, 138.49638 -35.128586, 138.496475 -35.127626, 138.496508 -35.127291, 138.496527 -35.127039, 138.496533 -35.12612, 138.496478 -35.125028, 138.496456 -35.124703, 138.496206 -35.122832, 138.496056 -35.122031, 138.49598 -35.121619, 138.49566 -35.120242, 138.495485 -35.119509, 138.495249 -35.118602, 138.49518 -35.118348, 138.495032 -35.117814, 138.494942 -35.117514, 138.494863 -35.117234, 138.494643 -35.116526, 138.494468 -35.116006, 138.494301 -35.115509, 138.494061 -35.114756, 138.493554 -35.113014, 138.493505 -35.112842, 138.493161 -35.111879, 138.492992 -35.111518, 138.492894 -35.111306, 138.492061 -35.109838, 138.491737 -35.109306))"
